Initial Error,Nov 2014 Impl Final Error,Initial Error,Menpo Master Final Error ,Final Error Difference
0.035728065,0.016224309,0.035728065,0.016224295,0.0000
0.101480811,0.018553047,0.101480811,0.01855292,0.0000
0.145769718,0.050931526,0.145769718,0.050931554,0.0000
0.106632619,0.038785363,0.106632619,0.038785265,0.0000
0.071216416,0.019220082,0.071216416,0.019220052,0.0000
0.066281432,0.011199002,0.066281432,0.011199028,0.0000
0.063914191,0.026931231,0.063914191,0.02693119,0.0000
0.060924572,0.025558656,0.060924572,0.02555867,0.0000
0.084670949,0.050615617,0.084670949,0.050615969,0.0000
0.072756778,0.028432984,0.072756778,0.028433079,0.0000
0.099432893,0.026985934,0.099432893,0.026986093,0.0000
0.125609333,0.035107031,0.125609333,0.035107316,0.0000
0.118338656,0.05075316,0.118338656,0.050752814,0.0000
0.111840736,0.062983103,0.111840736,0.062983198,0.0000
0.084358782,0.067445085,0.084358782,0.067445748,0.0000
0.111374942,0.046166423,0.111374942,0.046165427,0.0000
0.10165765,0.025126131,0.10165765,0.025125716,0.0000
0.061127223,0.018973899,0.061127223,0.018973902,0.0000
0.100202957,0.104308954,0.100202957,0.104309476,0.0000
0.074597318,0.024994108,0.074597318,0.024996916,0.0000
0.059021572,0.024848047,0.059021572,0.024847971,0.0000
0.088012764,0.017825392,0.088012764,0.017825396,0.0000
0.101569077,0.034090931,0.101569077,0.034091275,0.0000
0.060699512,0.04410597,0.060699512,0.044126632,0.0000
0.077602129,0.031641508,0.077602129,0.031641133,0.0000
0.115860268,0.060714423,0.115860268,0.06056228,0.0002
0.100801949,0.01888691,0.100801949,0.01888694,0.0000
0.11498146,0.021933448,0.11498146,0.021933544,0.0000
0.08975922,0.025264556,0.08975922,0.025264476,0.0000
0.127538971,0.088321026,0.127538971,0.088298469,0.0000
0.130115774,0.121722347,0.130115774,0.12143661,0.0003
0.097278448,0.031264541,0.097278448,0.031258188,0.0000
0.119098466,0.026729862,0.119098466,0.026729733,0.0000
0.124074788,0.034228765,0.124074788,0.034228852,0.0000
0.098538034,0.032328807,0.098538034,0.032345847,0.0000
0.091647737,0.026660717,0.091647737,0.026660833,0.0000
0.083202652,0.022855729,0.083202652,0.02285564,0.0000
0.107676579,0.0186311,0.107676579,0.018631003,0.0000
0.093738536,0.030328258,0.093738536,0.030328263,0.0000
0.100383344,0.050473496,0.100383344,0.050477297,0.0000
0.057221317,0.022711403,0.057221317,0.02271135,0.0000
0.064454044,0.014980879,0.064454044,0.014980857,0.0000
0.080361551,0.019203293,0.080361551,0.019203286,0.0000
0.05581092,0.02033959,0.05581092,0.020339701,0.0000
0.09129858,0.016748344,0.09129858,0.016748295,0.0000
